S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type,State Code,State Name
11.0,905,Election Commission,Department,,,,21,ODISHA
12.0,176,Energy,Department,,,,21,ODISHA
13.0,1629,Finance Department,Department,,,,21,ODISHA
14.0,64,Fisheries and Animal Husbandary,Department,,,,21,ODISHA
15.0,1022,Fisheries and Animal Resources Development,Department,,,,21,ODISHA
16.0,63,Forest and Environment,Department,,,,21,ODISHA
17.0,1291,General Administration Department,Department,,,,21,ODISHA
18.0,1049,"Handlooms,Textiles & Handicraft",Department,,,,21,ODISHA
19.0,584,Higher Education Department,Department,,,,21,ODISHA
20.0,1424,HOME DEPARTMENT,Department,,,,21,ODISHA
21.0,322,Horticulture Department,Department,,,,21,ODISHA
22.0,320,Housing and Urban Development,Department,,,,21,ODISHA
23.0,319,Industries,Department,,,,21,ODISHA
24.0,999,"ODIA LANGUAGE,LITERATURE & CULTURE DEPARTMENT",Department,,,,21,ODISHA
25.0,516,Panchayati Raj and Drinking Water Department,Department,,,,21,ODISHA
26.0,325,Public Enterprises,Department,,,,21,ODISHA
27.0,798,Revenue and Disaster Management Department,Department,,,,21,ODISHA
28.0,51,Rural Development Department,Department,,,,21,ODISHA
29.0,316,School and Mass Education,Department,,,,21,ODISHA
30.0,323,Science and Technology,Department,,,,21,ODISHA
31.0,61,"ST and SC Development,Minorities and Backward Classes Welfare",Department,,,,21,ODISHA
32.0,23,Test Department,Department,,,,21,ODISHA
33.0,318,Textiles and Handloom,Department,,,,21,ODISHA
34.0,324,Water Resources,Department,,,,21,ODISHA
35.0,60,Women and Child Development,Department,,,,21,ODISHA
36.0,321,Works,Department,,,,21,ODISHA
37.0,596,Council of Higher Secondary Education,Organization,584,Higher Education Department,Department,21,ODISHA
38.0,1029,Dhenkanal Regional Improvement Trust,Organization,320,Housing and Urban Development,Department,21,ODISHA
39.0,1030,Directorate of Animal Husbandry and Veterinary Services,Organization,1022,Fisheries and Animal Resources Development,Department,21,ODISHA
40.0,2097,Directorate of Fisheries,Organization,1022,Fisheries and Animal Resources Development,Department,21,ODISHA
41.0,1630,Directorate of Local Fund Audit,Organization,1629,Finance Department,Department,21,ODISHA
42.0,2191,Directorate of Odia Language Literature and Culture,Organization,999,"ODIA LANGUAGE,LITERATURE & CULTURE DEPARTMENT",Department,21,ODISHA
43.0,1145,Directorate of Textiles,Organization,1049,"Handlooms,Textiles & Handicraft",Department,21,ODISHA
44.0,1622,DIRECTOR GENERAL OF POLICE,Organization,1424,HOME DEPARTMENT,Department,21,ODISHA
45.0,1633,Engineer In Chief cum Principal Chief Electrical Inspector Odisha Bhubaneswar,Organization,176,Energy,Department,21,ODISHA
46.0,1292,Gopabandhu Academy Of Administration,Organization,1291,General Administration Department,Department,21,ODISHA
47.0,1511,HIGH COURT OF ORISSA,Organization,1424,HOME DEPARTMENT,Department,21,ODISHA
48.0,2543,Odisha Hydro Power Corporation,Organization,176,Energy,Department,21,ODISHA
49.0,2192,Odisha Sahitya Academi BBSR,Organization,999,"ODIA LANGUAGE,LITERATURE & CULTURE DEPARTMENT",Department,21,ODISHA
50.0,2470,Odisha State Museum,Organization,999,"ODIA LANGUAGE,LITERATURE & CULTURE DEPARTMENT",Department,21,ODISHA
51.0,2251,Odisha University of Agriculture and Technology Bhubaneswar,Organization,62,Agriculture,Department,21,ODISHA
52.0,131,SIRD,Organization,51,Rural Development Department,Department,21,ODISHA
53.0,1295,STATE TRANSPORT AUTHORITY,Organization,1289,COMMERCE AND TRANSPORT,Department,21,ODISHA
1.0,1229,Department of Civil Supplies and Consumer Affairs,Department,,,,34,PUDUCHERRY
2.0,2517,Department of Drugs Control,Department,,,,34,PUDUCHERRY
3.0,1220,Department of Fisheries and Fishermen Welfare,Department,,,,34,PUDUCHERRY
4.0,906,Department of Panchayati Raj and RD,Department,,,,34,PUDUCHERRY
5.0,1420,Department of Tourism,Department,,,,34,PUDUCHERRY
6.0,1046,"Dept of Social Welfare, WCD",Department,,,,34,PUDUCHERRY
7.0,2239,Directorate of Information Technology,Department,,,,34,PUDUCHERRY
8.0,2476,Directorate of Social Welfare,Department,,,,34,PUDUCHERRY
9.0,909,Election Commission,Department,,,,34,PUDUCHERRY
10.0,2248,FIRE SERVICE DEPARTMENT,Department,,,,34,PUDUCHERRY
11.0,1540,Home Department,Department,,,,34,PUDUCHERRY
12.0,1553,Labour Department,Department,,,,34,PUDUCHERRY
13.0,1662,Law Department,Department,,,,34,PUDUCHERRY
14.0,484,Local Administration Department,Department,,,,34,PUDUCHERRY
15.0,1530,Office of the Controller of Legal Metrology,Department,,,,34,PUDUCHERRY
16.0,1214,O/o The Controller of Legal Metrology,Department,,,,34,PUDUCHERRY
17.0,907,Revenue Department,Department,,,,34,PUDUCHERRY
18.0,36,Test Department,Department,,,,34,PUDUCHERRY
19.0,908,Urban Development Department,Department,,,,34,PUDUCHERRY
20.0,159,SIRD,Organization,484,Local Administration Department,Department,34,PUDUCHERRY
1.0,237,Department Of Agriculture,Department,,,,3,PUNJAB
2.0,236,Department of Animal Husbandry,Department,,,,3,PUNJAB
3.0,1334,Department of Civil Aviation,Department,,,,3,PUNJAB
4.0,1335,Department of Cooperation,Department,,,,3,PUNJAB
5.0,399,Department of Dairy Development,Department,,,,3,PUNJAB
6.0,1336,Department of Defence Services Welfare,Department,,,,3,PUNJAB
7.0,409,Department of Drainage,Department,,,,3,PUNJAB
8.0,400,Department Of Education,Department,,,,3,PUNJAB
9.0,1337,Department of Excise & Taxation,Department,,,,3,PUNJAB
10.0,1338,Department of Finance,Department,,,,3,PUNJAB
11.0,240,Department of Fishery,Department,,,,3,PUNJAB
12.0,1339,"Department of Food, Civil Supplies and Consumer Affairs",Department,,,,3,PUNJAB
13.0,401,Department Of Forest And Wild Life Preservation,Department,,,,3,PUNJAB
14.0,1340,Department of General Administration,Department,,,,3,PUNJAB
15.0,402,Department of Health and Family Welfare,Department,,,,3,PUNJAB
16.0,1333,Department of Home Affairs & Jails,Department,,,,3,PUNJAB
17.0,238,Department of Horticulture,Department,,,,3,PUNJAB
18.0,1341,Department of Housing & Urban Development,Department,,,,3,PUNJAB
19.0,415,"Department of Industries and Commerce, Punjab",Department,,,,3,PUNJAB
20.0,1342,Department of Information & Public Relation,Department,,,,3,PUNJAB
21.0,1343,Department of information Technology,Department,,,,3,PUNJAB
22.0,1344,Department of Investment Promotion,Department,,,,3,PUNJAB
23.0,404,Department of Irrigation,Department,,,,3,PUNJAB
24.0,1345,Department of Labour,Department,,,,3,PUNJAB
25.0,1346,Department of Legal and Legislative Affairs,Department,,,,3,PUNJAB
26.0,1383,DEPARTMENT OF MINES AND GEOLOGY,Department,,,,3,PUNJAB
27.0,1347,Department of Personnel,Department,,,,3,PUNJAB
28.0,1348,Department of Planning,Department,,,,3,PUNJAB
29.0,235,Department of Public Works,Department,,,,3,PUNJAB
30.0,1349,"Department of Revenue, Rehabilitation & Disaster Management",Department,,,,3,PUNJAB
31.0,234,Department of Rural Development and Panchayats,Department,,,,3,PUNJAB
32.0,1350,"Department of Science, Technology & Environment",Department,,,,3,PUNJAB
33.0,2516,"Department of Social Justice, Empowerment and Minorities",Department,,,,3,PUNJAB
34.0,406,Department of Social Wefare,Department,,,,3,PUNJAB
35.0,239,DEPARTMENT OF SOIL AND WATER CONSERVATION,Department,,,,3,PUNJAB
36.0,410,Department of Sports and Youth Services,Department,,,,3,PUNJAB
37.0,1351,Department of Tourism and Cultural Affairs,Department,,,,3,PUNJAB
38.0,1352,Department of Transport,Department,,,,3,PUNJAB
39.0,412,Department of Urban Local Bodies,Department,,,,3,PUNJAB
40.0,1353,Department of Vigilance,Department,,,,3,PUNJAB
41.0,408,Department of Water Supply and Sewerage Board,Department,,,,3,PUNJAB
42.0,403,Department of Water Supply Sanitation,Department,,,,3,PUNJAB
43.0,1354,Department of Welfare of Pensioner,Department,,,,3,PUNJAB
44.0,407,Department Of Welfare of Scheduled Castes and Backward Classes,Department,,,,3,PUNJAB
45.0,405,Department of Women and Child Development,Department,,,,3,PUNJAB
46.0,1384,DIRECTOR LAND RECORDS AND CONSOLIDATION,Department,,,,3,PUNJAB
47.0,1355,Economic and Statistical Organization,Department,,,,3,PUNJAB
48.0,910,Election Commission,Department,,,,3,PUNJAB
49.0,2121,Examiner Local Fund & Accounts Punjab,Department,,,,3,PUNJAB
50.0,2122,"Examiner Local Fund & Accounts, PUNJAB",Department,,,,3,PUNJAB
51.0,2124,"Examiner Local Fund and Accounts, PUNJAB",Department,,,,3,PUNJAB
52.0,2267,Punjab Heritage and Tourism Promotion Board,Department,,,,3,PUNJAB
53.0,413,Punjab Infrastructure Development Board,Department,,,,3,PUNJAB
54.0,414,Punjab Mandi Board,Department,,,,3,PUNJAB
55.0,411,Punjab Sate Power Corporation Limited,Department,,,,3,PUNJAB
56.0,940,Revenue Department,Department,,,,3,PUNJAB
57.0,2123,State Audit Department,Department,,,,3,PUNJAB
58.0,5,Test Department,Department,,,,3,PUNJAB
59.0,2354,Punjab School Education Board,Organization,400,Department Of Education,Department,3,PUNJAB
60.0,103,State Institute of Rural Development (SIRD),Organization,234,Department of Rural Development and Panchayats,Department,3,PUNJAB
1.0,950,Agriculture Department,Department,,,,8,RAJASTHAN
2.0,959,Ajmer Vidyut Vitran Nigam Ltd,Department,,,,8,RAJASTHAN
3.0,954,Cooperative Department,Department,,,,8,RAJASTHAN
4.0,957,Dairy,Department,,,,8,RAJASTHAN
5.0,961,Departmant Commercial taxes,Department,,,,8,RAJASTHAN
6.0,951,Department of Animal Husbandary,Department,,,,8,RAJASTHAN
7.0,952,Department of Anti Corruption,Department,,,,8,RAJASTHAN
8.0,953,Department of Circuit House,Department,,,,8,RAJASTHAN
9.0,955,Department of Cooperative Society,Department,,,,8,RAJASTHAN
10.0,956,Department of Education (Higher),Department,,,,8,RAJASTHAN
11.0,964,Department of Information Technology & Communication,Department,,,,8,RAJASTHAN
12.0,971,Department of Medical Health and Family Welfare,Department,,,,8,RAJASTHAN
13.0,972,Department of Mines & Geology,Department,,,,8,RAJASTHAN
14.0,973,Department of Minority Affairs & Waqf,Department,,,,8,RAJASTHAN
15.0,686,Department of Revenue,Department,,,,8,RAJASTHAN
16.0,1063,Department of Telecommunications,Department,,,,8,RAJASTHAN
17.0,968,Directorate of Horticulture,Department,,,,8,RAJASTHAN
18.0,1207,Directorate of Secondary Education,Department,,,,8,RAJASTHAN
19.0,913,Election Commission,Department,,,,8,RAJASTHAN
20.0,965,Excise Department,Department,,,,8,RAJASTHAN
21.0,986,Finance Departmant,Department,,,,8,RAJASTHAN
22.0,966,Food Corporation of India,Department,,,,8,RAJASTHAN
23.0,988,Forest Department,Department,,,,8,RAJASTHAN
24.0,960,General Administration Department,Department,,,,8,RAJASTHAN
25.0,2184,Local Fund Audit Department,Department,,,,8,RAJASTHAN
26.0,2185,Local Fund Audit Department Rajasthan,Department,,,,8,RAJASTHAN
27.0,2187,"Local Fund Audit, Rajasthan",Department,,,,8,RAJASTHAN
28.0,962,"Ministry of Electronics & Information Technology, Government of India",Department,,,,8,RAJASTHAN
29.0,974,Nirmal Bharat Abhiyan,Department,,,,8,RAJASTHAN
30.0,241,panchayati raj,Department,,,,8,RAJASTHAN
31.0,975,Passport,Department,,,,8,RAJASTHAN
32.0,976,Public Health Engineering Department,Department,,,,8,RAJASTHAN
33.0,978,PUBLIC WORKS DEPARTMENT,Department,,,,8,RAJASTHAN
34.0,967,Rajasthan Civil Defense & Home Guards,Department,,,,8,RAJASTHAN
35.0,1068,Rajasthan Skill and Livelihoods Development Corporation,Department,,,,8,RAJASTHAN
36.0,979,Rajasthan State Road Transport Corporation,Department,,,,8,RAJASTHAN
37.0,984,Rajasthan State Sport Council,Department,,,,8,RAJASTHAN
38.0,911,Rural Developement,Department,,,,8,RAJASTHAN
39.0,983,Sainik Welfare Department,Department,,,,8,RAJASTHAN
40.0,963,Sarva Shiksha Abhiyan ,Department,,,,8,RAJASTHAN
41.0,980,Scheduled Castes Finance and Development Corporation,Department,,,,8,RAJASTHAN
42.0,982,Social Justice & Empowerment Department,Department,,,,8,RAJASTHAN
43.0,981,State Insurance & Provident Fund Department,Department,,,,8,RAJASTHAN
44.0,10,Test Department,Department,,,,8,RAJASTHAN
45.0,977,TWENTY POINT PROGRAMME Planning Department,Department,,,,8,RAJASTHAN
46.0,912,Urban Development Department,Department,,,,8,RAJASTHAN
47.0,987,Urban Improvement Trust,Department,,,,8,RAJASTHAN
48.0,970,Water Resoures Departmant,Department,,,,8,RAJASTHAN
49.0,969,Women and Child Development Department,Department,,,,8,RAJASTHAN
50.0,1001,Zila Parishad of Rajasthan,Department,,,,8,RAJASTHAN
51.0,985, Directorate of Economics and Statistics,Department,,,,8,RAJASTHAN
52.0,107,SIRD,Organization,241,panchayati raj,Department,8,RAJASTHAN
1.0,443,"Animal Husbandry, Livestock, Fisheries Vet. Service Department",Department,,,,11,SIKKIM
2.0,183,Building and Housing Department,Department,,,,11,SIKKIM
3.0,184,Commerce and Industries Department,Department,,,,11,SIKKIM
4.0,440,Cooperative Department,Department,,,,11,SIKKIM
5.0,452,Culture Affairs Heritage Department,Department,,,,11,SIKKIM
6.0,941,Department of Panchayati Raj,Department,,,,11,SIKKIM
7.0,448,"Department of Personnel, AR. Trg. and Public Grievances, Career Options",Department,,,,11,SIKKIM
8.0,182,"Development Planning, Economic Reforms and North East Council Affairs Depar",Department,,,,11,SIKKIM
9.0,2111,Directorate of Local Fund Audit,Department,,,,11,SIKKIM
10.0,914,Election commission,Department,,,,11,SIKKIM
11.0,445,Energy Power Department,Department,,,,11,SIKKIM
12.0,795,Excise (Abkari) Department,Department,,,,11,SIKKIM
13.0,449,Finance Revenue Expenditure Department,Department,,,,11,SIKKIM
14.0,1656,Finance Revenue Expenditure Department(Local Fund Audit Section),Department,,,,11,SIKKIM
15.0,2166,Fire and Emergency Service Department,Department,,,,11,SIKKIM
16.0,185,Food Civil Supplies Consumer Affairs Department,Department,,,,11,SIKKIM
17.0,441,Food Security Agriculture Dev. Department,Department,,,,11,SIKKIM
18.0,187,"Forest, Env. Wildlife Management",Department,,,,11,SIKKIM
19.0,2254,Gangtok Municipal Corporation,Department,,,,11,SIKKIM
20.0,143,"Health Care, Human Services family Welfare Department",Department,,,,11,SIKKIM
21.0,2488,HOME DEPARTMENT,Department,,,,11,SIKKIM
22.0,442,Horticulture Cash Crops Dev. Department,Department,,,,11,SIKKIM
23.0,142,Human Resource Dev. Department,Department,,,,11,SIKKIM
24.0,188,Information Technology,Department,,,,11,SIKKIM
25.0,444,Irrigation Flood Control Department,Department,,,,11,SIKKIM
26.0,450,Labour Department,Department,,,,11,SIKKIM
27.0,2182,Labour Department East,Department,,,,11,SIKKIM
28.0,451,Land Revenue Disaster Management Department,Department,,,,11,SIKKIM
29.0,583,LAND REVENUE DISASTER MANAGEMENT DEPARTMENT,Department,,,,11,SIKKIM
30.0,2220,Legal Metrology Unit,Department,,,,11,SIKKIM
31.0,186,"Mines, Minerals Geology Department",Department,,,,11,SIKKIM
32.0,997,"National Institute of Electronics & Information Technology (NIELIT), Gangtok",Department,,,,11,SIKKIM
33.0,998,"NIELIT, Gangtok",Department,,,,11,SIKKIM
34.0,694,POLICE HEAD QUARTER,Department,,,,11,SIKKIM
35.0,181,Roads Bridges Department,Department,,,,11,SIKKIM
36.0,439,Rural Management Dev. Department,Department,,,,11,SIKKIM
37.0,582,RURAL MANAGEMENT DEVELOPMENT DEPARTMENT,Department,,,,11,SIKKIM
38.0,179,Science Technology Department,Department,,,,11,SIKKIM
39.0,447,"Social Justice, Empowerment Welfare Department",Department,,,,11,SIKKIM
40.0,454,Sports Youth Affairs Department,Department,,,,11,SIKKIM
41.0,13,Test Department,Department,,,,11,SIKKIM
42.0,2534,TOURISM AND CIVIL AVIATION DEPARTMENT,Department,,,,11,SIKKIM
43.0,144,Tourism Department,Department,,,,11,SIKKIM
44.0,446,Transport Department,Department,,,,11,SIKKIM
45.0,453,Urban Dev. Housing Department,Department,,,,11,SIKKIM
46.0,180,Water Security Public Health Engineering Department,Department,,,,11,SIKKIM
47.0,698,Directorate of Panchayati Raj,Organization,582,RURAL MANAGEMENT DEVELOPMENT DEPARTMENT,Department,11,SIKKIM
48.0,1385,Institute of Hotel Management,Organization,144,Tourism Department,Department,11,SIKKIM
49.0,141,SIRD,Organization,439,Rural Management Dev. Department,Department,11,SIKKIM
1.0,1119,Adi Dravidar and Tribal Welfare Department,Department,,,,33,TAMIL NADU
2.0,693,Agricultural Engineering Department,Department,,,,33,TAMIL NADU
3.0,1155,"Animal Husbandry, Dairying and Fisheries Department",Department,,,,33,TAMIL NADU
4.0,1121,"BC, MBC and Minorities Welfare Department",Department,,,,33,TAMIL NADU
5.0,2553,Civil Supplies and Consumer Protection Department,Department,,,,33,TAMIL NADU
6.0,1122,Commercial Taxes and Registration Department,Department,,,,33,TAMIL NADU
7.0,627,Commissionerate of Differently Abled,Department,,,,33,TAMIL NADU
8.0,1124,"Co-operation, Food and Consumer Protection Department",Department,,,,33,TAMIL NADU
9.0,483,Department of Panchayati Raj and RD,Department,,,,33,TAMIL NADU
10.0,1047,Dept of Social Welfare & Nutrition Meal Prog,Department,,,,33,TAMIL NADU
11.0,917,Election Commission,Department,,,,33,TAMIL NADU
12.0,1217,Energy Department,Department,,,,33,TAMIL NADU
13.0,1216,Environment and Forests Department,Department,,,,33,TAMIL NADU
14.0,1123,Finance Department,Department,,,,33,TAMIL NADU
15.0,1125,"Handlooms, Handicrafts, Textiles and Khadi Department",Department,,,,33,TAMIL NADU
16.0,1126,Health and Family Welfare Department,Department,,,,33,TAMIL NADU
17.0,1127,HIGHER EDUCATION DEPARTMENT,Department,,,,33,TAMIL NADU
18.0,1128,"Home, Prohibition and Excise Department",Department,,,,33,TAMIL NADU
19.0,1129,Housing and Urban Development Department,Department,,,,33,TAMIL NADU
20.0,1130,Industries Department,Department,,,,33,TAMIL NADU
21.0,1241,Information Technology Department,Department,,,,33,TAMIL NADU
22.0,1131,Labour and Employment Department,Department,,,,33,TAMIL NADU
23.0,1120,Law Department,Department,,,,33,TAMIL NADU
24.0,2134,Local Fund Audit Department Tamilnadu,Department,,,,33,TAMIL NADU
25.0,2133,"Local Fund Audit Department, Tamilnadu",Department,,,,33,TAMIL NADU
26.0,1132,"Micro , Small and Medium Enterprises Department",Department,,,,33,TAMIL NADU
27.0,1159,Municipal Administration and Water Supply Department,Department,,,,33,TAMIL NADU
28.0,1133,Personnel and Administrative Reforms Department,Department,,,,33,TAMIL NADU
29.0,1134,"Planning, Development and Special Initiatives Department",Department,,,,33,TAMIL NADU
30.0,1135,Public Department,Department,,,,33,TAMIL NADU
31.0,1136,Public Work Department,Department,,,,33,TAMIL NADU
32.0,916,Revenue Department,Department,,,,33,TAMIL NADU
33.0,1137,School Education Department,Department,,,,33,TAMIL NADU
34.0,735,Social Service Department,Department,,,,33,TAMIL NADU
35.0,1221,Tamilnadu State Transport Corporation,Department,,,,33,TAMIL NADU
36.0,35,Test Department,Department,,,,33,TAMIL NADU
37.0,1138,"Tourism,Culture and Religious Endowments Department",Department,,,,33,TAMIL NADU
38.0,915,Urban Development Department,Department,,,,33,TAMIL NADU
39.0,1139,Youth Welfare and Sports Development Department,Department,,,,33,TAMIL NADU
40.0,1156,Animal Husbandry Directorate,Organization,1155,"Animal Husbandry, Dairying and Fisheries Department",Department,33,TAMIL NADU
41.0,1158,Directorate of Audit for Milk Cooperatives,Organization,1155,"Animal Husbandry, Dairying and Fisheries Department",Department,33,TAMIL NADU
42.0,1157,Fisheries Directorate,Organization,1155,"Animal Husbandry, Dairying and Fisheries Department",Department,33,TAMIL NADU
43.0,157,SIRD,Organization,483,Department of Panchayati Raj and RD,Department,33,TAMIL NADU
1.0,550,Department of Panchayati Raj and RD,Department,,,,36,TELANGANA
2.0,1048,Dept. of Women Development & Child Welfare,Department,,,,36,TELANGANA
3.0,1664,Director of State Audit,Department,,,,36,TELANGANA
4.0,936,Election Commission,Department,,,,36,TELANGANA
5.0,934,Revenue Department,Department,,,,36,TELANGANA
6.0,935,Urban Development Department,Department,,,,36,TELANGANA
7.0,706,TELANGANA STATE INSTITUTE OF PANCHAYAT RAJ AND RURAL DEVELOPMENT,Organization,550,Department of Panchayati Raj and RD,Department,36,TELANGANA
1.0,2244,Department of Panchayati Raj Institutions,Department,,,,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
2.0,2273,Department of Panchayati Raj & Rural Development,Department,,,,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
3.0,2243,Department of Urban Development,Department,,,,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
4.0,2242,Revenue Department,Department,,,,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
5.0,2497,Social Welfare Department DNH and DD,Department,,,,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
6.0,2240,Test department,Department,,,,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
1.0,566,"Department For Welfare Of Scs, Obcs And Minority",Department,,,,16,TRIPURA
2.0,345,Department Of Agriculture,Department,,,,16,TRIPURA
3.0,1628,Department of Agriculture and Farmers Welfare,Department,,,,16,TRIPURA
4.0,77,Department of Animal Resources Development,Department,,,,16,TRIPURA
5.0,73,Department Of Cooperation,Department,,,,16,TRIPURA
6.0,574,Department Of Finance,Department,,,,16,TRIPURA
7.0,1244,Department Of Fishery,Department,,,,16,TRIPURA
8.0,572,"Department Of Food, Civil Supplies And Consumer Affairs",Department,,,,16,TRIPURA
9.0,588,Department Of Forest Tripura,Department,,,,16,TRIPURA
10.0,559,Department Of Home(Police),Department,,,,16,TRIPURA
11.0,1243,Department Of Horticulture And Soil Conservation,Department,,,,16,TRIPURA
12.0,82,Department Of Icat,Department,,,,16,TRIPURA
13.0,1286,Department Of Industries & Commerce,Department,,,,16,TRIPURA
14.0,1242,Department Of Information Technology,Department,,,,16,TRIPURA
15.0,226,Department Of Labour,Department,,,,16,TRIPURA
16.0,2223,Department Of Power,Department,,,,16,TRIPURA
17.0,79,Department Of School Education,Department,,,,16,TRIPURA
18.0,342,Department Of Social Education,Department,,,,16,TRIPURA
19.0,565,Department Of Tribal Welfare,Department,,,,16,TRIPURA
20.0,576,Department Of Urban Development,Department,,,,16,TRIPURA
21.0,338,Departmnet Of Police,Department,,,,16,TRIPURA
22.0,80,Dept Of Trp And Pgp,Department,,,,16,TRIPURA
23.0,591,Directorate Of Land Records And Settlement,Department,,,,16,TRIPURA
24.0,1655,Directorate of Local Fund Audit,Department,,,,16,TRIPURA
25.0,1059,Directorate Of Social Welfare & Social Education,Department,,,,16,TRIPURA
26.0,136,Director Of Panchayat,Department,,,,16,TRIPURA
27.0,344,Economics And Statistics,Department,,,,16,TRIPURA
28.0,561,Education Department (School),Department,,,,16,TRIPURA
29.0,337,"EE (WR),PWD",Department,,,,16,TRIPURA
30.0,918,Election Commission,Department,,,,16,TRIPURA
31.0,2472,General Administration (Administrative Reforms) Department,Department,,,,16,TRIPURA
32.0,2318,General Administration (Personnel and Training) Department,Department,,,,16,TRIPURA
33.0,340,General Administration (Sa) Department,Department,,,,16,TRIPURA
34.0,560,Health And Family Welfare Department,Department,,,,16,TRIPURA
35.0,702,Home Department (Fire Service),Department,,,,16,TRIPURA
36.0,2257,Planning (P&C) Department,Department,,,,16,TRIPURA
37.0,1237,Public Works Department (DWS),Department,,,,16,TRIPURA
38.0,1240,Public Works Department (PMGSY),Department,,,,16,TRIPURA
39.0,562,Public Works Department (RandB),Department,,,,16,TRIPURA
40.0,76,Rd Department,Department,,,,16,TRIPURA
41.0,1276,RD(Panchayat) Department,Department,,,,16,TRIPURA
42.0,553,Revenue Department,Department,,,,16,TRIPURA
43.0,1516,Right To Information,Department,,,,16,TRIPURA
44.0,575,Rural Development Department,Department,,,,16,TRIPURA
45.0,135,Science And Technology Dept,Department,,,,16,TRIPURA
46.0,339,"SE, PWD",Department,,,,16,TRIPURA
47.0,589,State AG,Department,,,,16,TRIPURA
48.0,18,Test Department,Department,,,,16,TRIPURA
49.0,335,TSECL,Department,,,,16,TRIPURA
50.0,2230,Commissionerate of Taxes & Excise,Organization,574,Department Of Finance,Department,16,TRIPURA
51.0,2249,Directorate of Relief Rehabitation and Disaster Management,Organization,553,Revenue Department,Department,16,TRIPURA
52.0,2272,Directorate of Small Savings Group Insurance and Institutional Finance,Organization,574,Department Of Finance,Department,16,TRIPURA
53.0,2225,Electrical Inspectorate,Organization,2223,Department Of Power,Department,16,TRIPURA
54.0,1064,Panchayat Raj Training Institute,Organization,76,Rd Department,Department,16,TRIPURA
55.0,134,SIRD,Organization,76,Rd Department,Department,16,TRIPURA
56.0,2535,Tripura Nursing Council,Organization,560,Health And Family Welfare Department,Department,16,TRIPURA
57.0,2226,Tripura State Electricity Corporation Limited (TSECL),Organization,2223,Department Of Power,Department,16,TRIPURA
1.0,428,Agriculture Dept.,Department,,,,5,UTTARAKHAND
2.0,430,Animal Husbandry Dept.,Department,,,,5,UTTARAKHAND
3.0,433,Cooperative Dept.,Department,,,,5,UTTARAKHAND
4.0,432,Dairy,Department,,,,5,UTTARAKHAND
5.0,1141,Department of Drinking Water Supply,Department,,,,5,UTTARAKHAND
6.0,1089,Department of Economics & Statistics,Department,,,,5,UTTARAKHAND
7.0,1087,"Department of Food, Civil Supplies & Consumer Affairs",Department,,,,5,UTTARAKHAND
8.0,464,Department of Panchayati Raj and RD,Department,,,,5,UTTARAKHAND
9.0,1100,Department of Revenue,Department,,,,5,UTTARAKHAND
10.0,2125,"Directorate Of Audit, Uttarakhand",Department,,,,5,UTTARAKHAND
11.0,723,Directorate of Soldier Welfare and Rehabilitation Board,Department,,,,5,UTTARAKHAND
12.0,277,"DoPR, Uttarakhand",Department,,,,5,UTTARAKHAND
13.0,426,Education Department,Department,,,,5,UTTARAKHAND
14.0,943,Election Commission,Department,,,,5,UTTARAKHAND
15.0,420,Electricity,Department,,,,5,UTTARAKHAND
16.0,431,Fishry,Department,,,,5,UTTARAKHAND
17.0,419,Forest,Department,,,,5,UTTARAKHAND
18.0,424,Health Department,Department,,,,5,UTTARAKHAND
19.0,1555,Home Department,Department,,,,5,UTTARAKHAND
20.0,429,Horticulture Dept.,Department,,,,5,UTTARAKHAND
21.0,434,Industry Dept.,Department,,,,5,UTTARAKHAND
22.0,1090,Information Department,Department,,,,5,UTTARAKHAND
23.0,423,Irrigation,Department,,,,5,UTTARAKHAND
24.0,435,Khadi Dept.,Department,,,,5,UTTARAKHAND
25.0,422,Minor Irrigation,Department,,,,5,UTTARAKHAND
26.0,1140,Municipal Corporation,Department,,,,5,UTTARAKHAND
27.0,418,Payjal Department,Department,,,,5,UTTARAKHAND
28.0,417,PMGSY,Department,,,,5,UTTARAKHAND
29.0,416,Public Work Department,Department,,,,5,UTTARAKHAND
30.0,942,Revenue Department,Department,,,,5,UTTARAKHAND
31.0,425,Rural Development,Department,,,,5,UTTARAKHAND
32.0,436,Sericulture,Department,,,,5,UTTARAKHAND
33.0,1143,Skill Development,Department,,,,5,UTTARAKHAND
34.0,427,Social Welfare Department,Department,,,,5,UTTARAKHAND
35.0,438,Sports,Department,,,,5,UTTARAKHAND
36.0,7,Test Department,Department,,,,5,UTTARAKHAND
37.0,437,Tourism,Department,,,,5,UTTARAKHAND
38.0,1088,Training & Employment,Department,,,,5,UTTARAKHAND
39.0,1142,Urban Development,Department,,,,5,UTTARAKHAND
40.0,944,Urban Development Department,Department,,,,5,UTTARAKHAND
41.0,421,Ureda,Department,,,,5,UTTARAKHAND
42.0,2527,Uttarakhand Minority Welfare and Waqf Development Corporation,Department,,,,5,UTTARAKHAND
